molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4764357,O=C(NC(Cn1ccnc1)C(=O)NCc1ccncc1)c1ccc2ccccc2c1,1153.0,nM,IC50,5.94,Cytochrome P450 51,single protein format,True
CHEMBL4757634,CC(NC(=O)c1cccc2ccccc12)C(=O)NC(Cn1ccnc1)C(=O)c1ccccc1,537.0,nM,IC50,6.27,Cytochrome P450 51,single protein format,True
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,116.0,nM,IC50,6.94,Cytochrome P450 51,single protein format,True
CHEMBL5088292,O=C(/C=C/c1cccc2ccccc12)NC(Cn1cncn1)c1ccccc1,209.0,nM,IC50,6.68,Cytochrome P450 51,single protein format,True
CHEMBL5094280,O=C(/C=C/c1ccc2ccccc2c1)NC(Cn1cncn1)C(=O)c1ccccc1,323.0,nM,IC50,6.49,Cytochrome P450 51,single protein format,True
CHEMBL5197095,CC(C)OC(=O)[C@@H](Cn1cncn1)NC(=O)[C@@H](C)c1cccc(C(=O)c2ccccc2)c1,200.0,nM,IC50,6.70,Cytochrome P450 51,single protein format,True
CHEMBL5195879,CC(C)NC(=O)[C@@H](Cn1ccnc1)NC(=O)[C@@H](C)c1cccc(C(=O)c2ccccc2)c1,150.0,nM,IC50,6.82,Cytochrome P450 51,single protein format,True
CHEMBL5187700,COc1ccc2cc([C@H](C)C(=O)NC(Cn3cncn3)C(=O)c3ccccc3)ccc2c1,80.0,nM,IC50,7.10,Cytochrome P450 51,single protein format,True
CHEMBL5180750,O=C(N[C@H](Cc1ccccc1)Cn1cncn1)c1ccc2c(c1)OCCO2,356.0,nM,IC50,6.45,Cytochrome P450 51,single protein format,True
CHEMBL5206822,CC(C)[C@H](NC(=O)c1cccc2c1OCCO2)C(=O)N[C@@H](Cn1cncn1)c1ccccc1,220.0,nM,IC50,6.66,Cytochrome P450 51,single protein format,True
CHEMBL5220891,C[C@H](C(=O)OC(Cn1ccnc1)c1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1,350.0,nM,IC50,6.46,Cytochrome P450 51,single protein format,True
CHEMBL5219013,C[C@H](C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,190.0,nM,IC50,6.72,Cytochrome P450 51,single protein format,True
CHEMBL123984,COc1cccc(Sc2[nH]c3nc(N)nc(N)c3c2C)c1,213.0,nM,IC50,6.67,Dihydrofolate reductase,cell-based format,True
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,92.0,nM,IC50,7.04,Dihydrofolate reductase,cell-based format,True
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,41.0,nM,IC50,7.39,Dihydrofolate reductase,cell-based format,True
CHEMBL4227977,COc1cccc(Sc2c(C)c3c(N)nc(N)nc3n2C)c1,160.0,nM,IC50,6.80,Dihydrofolate reductase,cell-based format,True
CHEMBL4227124,CCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,35.0,nM,IC50,7.46,Dihydrofolate reductase,cell-based format,True
CHEMBL4228228,CCCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,84.0,nM,IC50,7.08,Dihydrofolate reductase,cell-based format,True
CHEMBL4227384,COc1cccc(Sc2c(C)c3c(N)nc(N)nc3n2C(C)C)c1,74.0,nM,IC50,7.13,Dihydrofolate reductase,cell-based format,True
CHEMBL4228488,CCCCn1c(Sc2cccc(OC)c2)c(C)c2c(N)nc(N)nc21,73.0,nM,IC50,7.14,Dihydrofolate reductase,cell-based format,True
CHEMBL331314,COc1ccccc1Sc1[nH]c2nc(N)nc(N)c2c1C,177.0,nM,IC50,6.75,Dihydrofolate reductase,cell-based format,True
CHEMBL123892,COc1ccc(Sc2[nH]c3nc(N)nc(N)c3c2C)cc1,252.0,nM,IC50,6.60,Dihydrofolate reductase,cell-based format,True
CHEMBL227065,Cc1c(Sc2ccc3ccccc3c2)[nH]c2nc(N)nc(N)c12,101.0,nM,IC50,7.00,Dihydrofolate reductase,cell-based format,True
CHEMBL122998,Cc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12,167.0,nM,IC50,6.78,Dihydrofolate reductase,cell-based format,True
CHEMBL4226849,Cc1c(Sc2ccc(F)c(F)c2)[nH]c2nc(N)nc(N)c12,240.0,nM,IC50,6.62,Dihydrofolate reductase,cell-based format,True
CHEMBL4226262,Cc1c(Sc2ccc(OC(F)(F)F)cc2)[nH]c2nc(N)nc(N)c12,81.0,nM,IC50,7.09,Dihydrofolate reductase,cell-based format,True
CHEMBL4227112,COc1ccccc1Sc1c(C)c2c(N)nc(N)nc2n1C,210.0,nM,IC50,6.68,Dihydrofolate reductase,cell-based format,True
CHEMBL4226465,COc1ccc(Sc2c(C)c3c(N)nc(N)nc3n2C)cc1,219.0,nM,IC50,6.66,Dihydrofolate reductase,cell-based format,True
CHEMBL4227373,Cc1c(Sc2ccc3ccccc3c2)n(C)c2nc(N)nc(N)c12,130.0,nM,IC50,6.89,Dihydrofolate reductase,cell-based format,True
CHEMBL4229284,Cc1c(Sc2cccc3ccccc23)n(C)c2nc(N)nc(N)c12,177.0,nM,IC50,6.75,Dihydrofolate reductase,cell-based format,True
CHEMBL4225535,Cc1c(Sc2ccc(F)c(F)c2)n(C)c2nc(N)nc(N)c12,247.0,nM,IC50,6.61,Dihydrofolate reductase,cell-based format,True
CHEMBL4225860,Cc1c(Sc2ccc(OC(F)(F)F)cc2)n(C)c2nc(N)nc(N)c12,110.0,nM,IC50,6.96,Dihydrofolate reductase,cell-based format,True
CHEMBL1182094,COc1ccc2c(Cc3ccc(C(C)(C)C)cc3)c3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,22000.0,nM,IC50,4.66,Chitin synthase 2,microsome format,True
CHEMBL5180750,O=C(N[C@H](Cc1ccccc1)Cn1cncn1)c1ccc2c(c1)OCCO2,823.0,nM,IC50,6.08,Squalene monooxygenase,single protein format,True
CHEMBL5206822,CC(C)[C@H](NC(=O)c1cccc2c1OCCO2)C(=O)N[C@@H](Cn1cncn1)c1ccccc1,621.0,nM,IC50,6.21,Squalene monooxygenase,single protein format,True
CHEMBL626,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,317.0,nM,IC50,6.50,Squalene monooxygenase,single protein format,True
CHEMBL318721,CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21,4.0,nM,IC50,8.40,Dihydrofolate reductase,single protein format,True
CHEMBL83547,Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,23.0,nM,IC50,7.64,Dihydrofolate reductase,single protein format,True
CHEMBL100239,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,34.0,nM,IC50,7.47,Dihydrofolate reductase,single protein format,True
CHEMBL328827,Nc1nc(N)c2c(Sc3ccc(N4CCOCC4)cc3)cccc2n1,130.0,nM,IC50,6.89,Dihydrofolate reductase,single protein format,True
CHEMBL329985,CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,8.0,nM,IC50,8.10,Dihydrofolate reductase,single protein format,True
CHEMBL384443,COc1cc(C(O)C#Cc2cnc(N)nc2N)cc(OC)c1OC,11900.0,nM,IC50,4.92,Dihydrofolate reductase,assay format,True
CHEMBL220936,COc1cc(C(C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,2500.0,nM,IC50,5.60,Dihydrofolate reductase,assay format,True
CHEMBL219624,COc1cc(CC#Cc2cnc(N)nc2N)cc(OC)c1OC,820.0,nM,IC50,6.09,Dihydrofolate reductase,assay format,True
CHEMBL219889,COc1cc(C(C)C#Cc2cnc(N)nc2N)cc(OC)c1OC,180.0,nM,IC50,6.75,Dihydrofolate reductase,assay format,True
CHEMBL221172,COc1cc(C(O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,980.0,nM,IC50,6.01,Dihydrofolate reductase,assay format,True
CHEMBL220937,COc1cc(C(C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,320.0,nM,IC50,6.50,Dihydrofolate reductase,assay format,True
CHEMBL220159,COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,180.0,nM,IC50,6.75,Dihydrofolate reductase,assay format,True
CHEMBL222461,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,110.0,nM,IC50,6.96,Dihydrofolate reductase,assay format,True
CHEMBL574335,CCC(C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL582843,COc1cc(C(C#Cc2c(C)nc(N)nc2N)C(C)C)cc(OC)c1OC,33.0,nM,IC50,7.48,Dihydrofolate reductase,assay format,True
CHEMBL485959,CCc1nc(N)nc(N)c1C#CCc1cc(OC)c(OC)c(OC)c1,18.0,nM,IC50,7.75,Dihydrofolate reductase,assay format,True
CHEMBL575223,CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)c(OC)c(OC)c1,20.0,nM,IC50,7.70,Dihydrofolate reductase,assay format,True
CHEMBL521055,COc1ccc(OC)c(CC#Cc2cnc(N)nc2N)c1,1400.0,nM,IC50,5.85,Dihydrofolate reductase,assay format,True
CHEMBL485960,COc1ccc(OC)c(CC#Cc2c(C)nc(N)nc2N)c1,410.0,nM,IC50,6.39,Dihydrofolate reductase,assay format,True
CHEMBL485961,CCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC,100.0,nM,IC50,7.00,Dihydrofolate reductase,assay format,True
CHEMBL485962,CCCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL573880,COc1ccc(OC)c(C(O)C#Cc2c(C)nc(N)nc2N)c1,730.0,nM,IC50,6.14,Dihydrofolate reductase,assay format,True
CHEMBL584390,COc1ccc(OC)c(C(C#Cc2c(C)nc(N)nc2N)OC)c1,550.0,nM,IC50,6.26,Dihydrofolate reductase,assay format,True
CHEMBL574329,COc1ccc(OC)c(C(C)C#Cc2c(C)nc(N)nc2N)c1,48.0,nM,IC50,7.32,Dihydrofolate reductase,assay format,True
CHEMBL520358,COc1cc(-c2ccccc2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,55.0,nM,IC50,7.26,Dihydrofolate reductase,assay format,True
CHEMBL459177,COc1cc(-c2ccccc2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,33.0,nM,IC50,7.48,Dihydrofolate reductase,assay format,True
CHEMBL459178,COc1cc(-c2ccccc2)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,37.0,nM,IC50,7.43,Dihydrofolate reductase,assay format,True
CHEMBL485569,COc1cc(-c2ccccc2C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL457725,COc1cc(-c2c(C)cccc2C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL457726,COc1cc(-c2c(C(C)C)cccc2C(C)C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,38.0,nM,IC50,7.42,Dihydrofolate reductase,assay format,True
CHEMBL572485,COc1ccc(-c2cc(OC)cc(C(C)C#Cc3c(C)nc(N)nc3N)c2)cc1,30.0,nM,IC50,7.52,Dihydrofolate reductase,assay format,True
CHEMBL574559,COc1cc(-c2ccccc2)cc(C(O)C#Cc2c(C)nc(N)nc2N)c1,91.0,nM,IC50,7.04,Dihydrofolate reductase,assay format,True
CHEMBL572717,COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(-c2c(C)cccc2C)c1,55.0,nM,IC50,7.26,Dihydrofolate reductase,assay format,True
CHEMBL584391,COc1cc(-c2ccc(C)cc2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,22.0,nM,IC50,7.66,Dihydrofolate reductase,assay format,True
CHEMBL575217,COc1cc(-c2cc(C)cc(C)c2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,17.0,nM,IC50,7.77,Dihydrofolate reductase,assay format,True
CHEMBL578424,COc1cc(-c2ccc(C(C)(C)C)cc2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,34.0,nM,IC50,7.47,Dihydrofolate reductase,assay format,True
CHEMBL457905,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1,55.0,nM,IC50,7.26,Dihydrofolate reductase,assay format,True
CHEMBL457906,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1C,27.0,nM,IC50,7.57,Dihydrofolate reductase,assay format,True
CHEMBL458817,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C)cccc1C,32.0,nM,IC50,7.50,Dihydrofolate reductase,assay format,True
CHEMBL458829,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C(C)C)cccc1C(C)C,41.0,nM,IC50,7.39,Dihydrofolate reductase,assay format,True
CHEMBL576960,COc1cc(-c2cc(C)cc(C)c2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,17.0,nM,IC50,7.77,Dihydrofolate reductase,assay format,True
CHEMBL575009,COc1cc(-c2cc(C)cc(C)c2)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,17.0,nM,IC50,7.77,Dihydrofolate reductase,assay format,True
CHEMBL574563,CCc1nc(N)nc(N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,20.0,nM,IC50,7.70,Dihydrofolate reductase,assay format,True
CHEMBL583570,CCc1nc(N)nc(N)c1C#C[C@@H](C)c1cc(OC)c(OC)c(OC)c1,20.0,nM,IC50,7.70,Dihydrofolate reductase,assay format,True
CHEMBL575218,COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,22.0,nM,IC50,7.66,Dihydrofolate reductase,assay format,True
CHEMBL574336,COc1cc(-c2ccc(C)cc2)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,22.0,nM,IC50,7.66,Dihydrofolate reductase,assay format,True
CHEMBL574553,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1C,27.0,nM,IC50,7.57,Dihydrofolate reductase,assay format,True
CHEMBL573406,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1C,27.0,nM,IC50,7.57,Dihydrofolate reductase,assay format,True
CHEMBL573407,COc1ccc(-c2cc(OC)cc([C@@H](C)C#Cc3c(C)nc(N)nc3N)c2)cc1,30.0,nM,IC50,7.52,Dihydrofolate reductase,assay format,True
CHEMBL574564,COc1ccc(-c2cc(OC)cc([C@H](C)C#Cc3c(C)nc(N)nc3N)c2)cc1,30.0,nM,IC50,7.52,Dihydrofolate reductase,assay format,True
CHEMBL574789,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C)cccc1C,32.0,nM,IC50,7.50,Dihydrofolate reductase,assay format,True
CHEMBL577790,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C)cccc1C,32.0,nM,IC50,7.50,Dihydrofolate reductase,assay format,True
CHEMBL574949,COc1cc(-c2ccc(C(C)(C)C)cc2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,34.0,nM,IC50,7.47,Dihydrofolate reductase,assay format,True
CHEMBL578648,COc1cc(-c2ccc(C(C)(C)C)cc2)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,34.0,nM,IC50,7.47,Dihydrofolate reductase,assay format,True
CHEMBL574258,COc1cc(-c2c(C(C)C)cccc2C(C)C)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,38.0,nM,IC50,7.42,Dihydrofolate reductase,assay format,True
CHEMBL575394,COc1cc(-c2c(C(C)C)cccc2C(C)C)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,38.0,nM,IC50,7.42,Dihydrofolate reductase,assay format,True
CHEMBL575632,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C(C)C)cccc1C(C)C,41.0,nM,IC50,7.39,Dihydrofolate reductase,assay format,True
CHEMBL575176,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C(C)C)cccc1C(C)C,41.0,nM,IC50,7.39,Dihydrofolate reductase,assay format,True
CHEMBL573077,COc1cc(-c2c(C)cccc2C)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL576976,COc1cc(-c2c(C)cccc2C)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL584164,COc1cc(-c2ccccc2C)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL575185,COc1cc(-c2ccccc2C)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL574741,CC[C@@H](C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL573076,CC[C@H](C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1,45.0,nM,IC50,7.35,Dihydrofolate reductase,assay format,True
CHEMBL575177,COc1ccc(C)c([C@@H](C#Cc2c(C)nc(N)nc2N)OC)c1,48.0,nM,IC50,7.32,Dihydrofolate reductase,assay format,True
CHEMBL591191,COc1ccc(C)c([C@H](C#Cc2c(C)nc(N)nc2N)OC)c1,48.0,nM,IC50,7.32,Dihydrofolate reductase,assay format,True
CHEMBL573117,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1,55.0,nM,IC50,7.26,Dihydrofolate reductase,assay format,True
CHEMBL573306,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1,55.0,nM,IC50,7.26,Dihydrofolate reductase,assay format,True
CHEMBL223301,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,110.0,nM,IC50,6.96,Dihydrofolate reductase,assay format,True
CHEMBL223569,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,110.0,nM,IC50,6.96,Dihydrofolate reductase,assay format,True
CHEMBL575194,COc1cc(-c2ccccc2)cc([C@@H](O)C#Cc2c(C)nc(N)nc2N)c1,91.0,nM,IC50,7.04,Dihydrofolate reductase,assay format,True
CHEMBL583184,COc1cc(-c2ccccc2)cc([C@H](O)C#Cc2c(C)nc(N)nc2N)c1,91.0,nM,IC50,7.04,Dihydrofolate reductase,assay format,True
CHEMBL573075,COc1cc([C@@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC,180.0,nM,IC50,6.75,Dihydrofolate reductase,assay format,True
CHEMBL573810,COc1cc([C@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC,180.0,nM,IC50,6.75,Dihydrofolate reductase,assay format,True
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,42000.0,nM,IC50,4.38,Dihydrofolate reductase,assay format,True
CHEMBL573811,COc1cc([C@@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,320.0,nM,IC50,6.50,Dihydrofolate reductase,assay format,True
CHEMBL574952,COc1cc([C@@H](O)C#Cc2cnc(N)nc2N)cc(OC)c1OC,11900.0,nM,IC50,4.92,Dihydrofolate reductase,assay format,True
CHEMBL574951,COc1cc([C@H](O)C#Cc2cnc(N)nc2N)cc(OC)c1OC,11900.0,nM,IC50,4.92,Dihydrofolate reductase,assay format,True
CHEMBL572856,COc1cc([C@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,2500.0,nM,IC50,5.60,Dihydrofolate reductase,assay format,True
CHEMBL583704,COc1cc([C@@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,2500.0,nM,IC50,5.60,Dihydrofolate reductase,assay format,True
CHEMBL575626,COc1cc([C@@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,980.0,nM,IC50,6.01,Dihydrofolate reductase,assay format,True
CHEMBL582881,COc1cc([C@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,980.0,nM,IC50,6.01,Dihydrofolate reductase,assay format,True
CHEMBL584385,COc1ccc(OC)c([C@@H](O)C#Cc2c(C)nc(N)nc2N)c1,730.0,nM,IC50,6.14,Dihydrofolate reductase,assay format,True
CHEMBL574288,COc1ccc(OC)c([C@H](O)C#Cc2c(C)nc(N)nc2N)c1,730.0,nM,IC50,6.14,Dihydrofolate reductase,assay format,True
CHEMBL575627,COc1ccc(OC)c([C@@H](C#Cc2c(C)nc(N)nc2N)OC)c1,550.0,nM,IC50,6.26,Dihydrofolate reductase,assay format,True
CHEMBL585363,COc1ccc(OC)c([C@H](C#Cc2c(C)nc(N)nc2N)OC)c1,550.0,nM,IC50,6.26,Dihydrofolate reductase,assay format,True
CHEMBL575410,COc1cc([C@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,320.0,nM,IC50,6.50,Dihydrofolate reductase,assay format,True
CHEMBL1230365,COc1cc(C(C)(C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,33.0,nM,IC50,7.48,Dihydrofolate reductase,single protein format,True
CHEMBL2335423,CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(-c2ccc3c(c2)OCCO3)c1,23.0,nM,IC50,7.64,Dihydrofolate reductase,single protein format,True
CHEMBL2335422,CCc1nc(N)nc(N)c1C#CCc1cc(OC)cc(-c2ccc3c(c2)OCCO3)c1,78.0,nM,IC50,7.11,Dihydrofolate reductase,single protein format,True
CHEMBL2335421,CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(-c2cccc3cnccc23)c1,17.0,nM,IC50,7.77,Dihydrofolate reductase,single protein format,True
CHEMBL2335420,CCc1nc(N)nc(N)c1C#CCc1cc(OC)cc(-c2cccc3cnccc23)c1,71.0,nM,IC50,7.15,Dihydrofolate reductase,single protein format,True
CHEMBL2335419,CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(-c2ccncc2)c1,60.0,nM,IC50,7.22,Dihydrofolate reductase,single protein format,True
CHEMBL2335418,COc1cc(-c2ccncc2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1,61.0,nM,IC50,7.21,Dihydrofolate reductase,single protein format,True
CHEMBL2335417,CCc1nc(N)nc(N)c1C#CC(C)c1cc(OC)cc(N2CCOCC2)c1,23.0,nM,IC50,7.64,Dihydrofolate reductase,single protein format,True
CHEMBL2335416,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)cc(N2CCOCC2)c1,21.0,nM,IC50,7.68,Dihydrofolate reductase,single protein format,True
CHEMBL3234115,COc1ccc(-c2ccccc2)cc1C(C)C#Cc1c(C)nc(N)nc1N,30.0,nM,IC50,7.52,Dihydrofolate reductase,single protein format,True
CHEMBL1270837,COc1cc(-c2ccccc2)ccc1C(C)C#Cc1c(C)nc(N)nc1N,20.0,nM,IC50,7.70,Dihydrofolate reductase,single protein format,True
CHEMBL1270734,COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)c(OC)cc1-c1ccccc1,36.0,nM,IC50,7.44,Dihydrofolate reductase,single protein format,True
CHEMBL3234116,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccccc2)cc1OC,49.0,nM,IC50,7.31,Dihydrofolate reductase,single protein format,True
CHEMBL3234117,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccncc2)cc1OC,33.0,nM,IC50,7.48,Dihydrofolate reductase,single protein format,True
CHEMBL3234118,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(O)cc2)cc1OC,39.0,nM,IC50,7.41,Dihydrofolate reductase,single protein format,True
CHEMBL3234119,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(C)cc2)cc1OC,48.0,nM,IC50,7.32,Dihydrofolate reductase,single protein format,True
CHEMBL3234120,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(C#N)cc2)cc1OC,50.0,nM,IC50,7.30,Dihydrofolate reductase,single protein format,True
CHEMBL3234317,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(OC(N)=O)cc2)cc1OC,18.0,nM,IC50,7.75,Dihydrofolate reductase,single protein format,True
CHEMBL3234318,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(C(=O)OC)cc2)cc1OC,46.0,nM,IC50,7.34,Dihydrofolate reductase,single protein format,True
CHEMBL3234319,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(N(C)C)cc2)cc1OC,64.0,nM,IC50,7.19,Dihydrofolate reductase,single protein format,True
CHEMBL3234320,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(F)cc2)cc1OC,43.0,nM,IC50,7.37,Dihydrofolate reductase,single protein format,True
CHEMBL3234321,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccccc2)cc1,23.0,nM,IC50,7.64,Dihydrofolate reductase,single protein format,True
CHEMBL3234322,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccccc2)nc1,55.0,nM,IC50,7.26,Dihydrofolate reductase,single protein format,True
CHEMBL3234323,CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(C)cc2)nc1,49.0,nM,IC50,7.31,Dihydrofolate reductase,single protein format,True
CHEMBL3234324,CCc1nc(N)nc(N)c1C#CC(C)c1cnc(-c2ccccc2)nc1,37.0,nM,IC50,7.43,Dihydrofolate reductase,single protein format,True
CHEMBL54618,Nc1nc(N)c2nc(CNc3cccc(Cl)c3)ccc2n1,2000.0,nM,IC50,5.70,Dihydrofolate reductase,single protein format,True
CHEMBL54792,COc1cccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)c1,97.0,nM,IC50,7.01,Dihydrofolate reductase,single protein format,True
CHEMBL51706,Nc1nc(N)c2nc(CNc3c(Cl)cc(Cl)cc3Cl)ccc2n1,2000.0,nM,IC50,5.70,Dihydrofolate reductase,single protein format,True
CHEMBL53872,C#CCN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(=O)C(F)(F)F)cc1,120.0,nM,IC50,6.92,Dihydrofolate reductase,single protein format,True
CHEMBL52836,COc1cccc(NCc2ccc3nc(N)nc(N)c3n2)c1,1700.0,nM,IC50,5.77,Dihydrofolate reductase,single protein format,True
CHEMBL52947,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3n2)c1,4400.0,nM,IC50,5.36,Dihydrofolate reductase,single protein format,True
CHEMBL53420,Nc1nc(N)c2nc(CNc3cc(Cl)c(Cl)c(Cl)c3)ccc2n1,660.0,nM,IC50,6.18,Dihydrofolate reductase,single protein format,True
CHEMBL55012,CC(=O)c1ccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)cc1,130.0,nM,IC50,6.89,Dihydrofolate reductase,single protein format,True
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,31.0,nM,IC50,7.51,Dihydrofolate reductase,single protein format,True
CHEMBL279243,Nc1nc(N)c2nc(CSc3ccccc3)cnc2n1,9500.0,nM,IC50,5.02,Dihydrofolate reductase,single protein format,True
